NM_178733	ZFP14
NM_011748	ZFP14
NM_021397	ZBTB32
NM_007959	ETV2
NM_011680	USF2
NM_009884	CEBPG
NM_007678	CEBPA
NM_009473	NR1H2
NM_019866	SPIB
NR_033136	ATF5
NM_030693	ATF5
NM_016849	IRF3
NM_011565	TEAD2
NM_016974	DBP
NM_010866	MYOD1
NM_001013368	E2F8
NM_009697	NR2F2
NM_183261	NR2F2
NM_008589	MESP2
NM_009553	ZSCAN2
NM_008887	PHOX2A
NM_021885	TUB
NM_020051	ASCL3
NM_001081329	ZKSCAN2
NM_011538	TBX6
NM_010772	MAZ
NM_008257	HMX3
NM_145998	HMX2
NM_183193	FOXI2
NR_027857	NKX6-2
NM_183248	NKX6-2
NM_016850	IRF7
NM_008554	ASCL2
NM_001083906	NR3C2
NM_009361	TFDP1
NM_008391	IRF2
NM_008539	SMAD1
NM_001081981	NFIX
NM_010906	NFIX
NM_001081982	NFIX
NM_172913	TOX3
NM_001161457	CBFB
NM_001161458	CBFB
NM_022309	CBFB
NM_001161456	CBFB
NM_018823	NFAT5
NM_133957	NFAT5
NM_007496	ZFHX3
NM_009233	SOX1
NM_029002	NKX6-3
NM_009556	ZFP42
NM_010402	HAND2
NM_001024954	PBX4
NM_001045484	MEF2B
NM_008578	MEF2B
NM_010592	JUND
NM_010150	NR2F6
NM_008452	KLF2
NM_027837	ISX
NM_138944	POU4F2
NM_009055	RFX1
NM_008535	LYL1
NM_010635	KLF1
NM_008416	JUNB
NM_021390	SALL1
NM_008393	IRX3
NM_018826	IRX5
NM_022428	IRX6
NM_011939	HSF4
NM_148952	E2F4
NM_021513	THAP11
NM_010901	NFATC3
NM_011742	ZFP1
NM_001037665	ZFP1
NM_001025577	MAF
NM_008320	IRF8
NM_008024	FOXL1
NM_013519	FOXC2
NM_009569	ZFPM1
NM_013914	SNAI3
NM_011808	ETS1
NM_001038642	ETS1
NM_148950	PKNOX2
NM_001029838	PKNOX2
NM_011139	POU2F3
NM_013646	RORA
NM_008829	PGR
NM_013800	BARX2
NM_008026	FLI1
NM_001033324	ZBTB16
NM_016769	SMAD3
NM_011544	TCF12
NM_008262	ONECUT1
NM_001184709	TFDP2
